Name,Country,Query_Name,Latitude,Longitude,
Cabinda,Angola,BAIA_DE_CABINDA,-5.570573899999999,12.197583,"Harbor.create(name: ""Cabinda"", lat: -5.570573899999999, lng: 12.197583, query: ""BAIA_DE_CABINDA"")"
Cabo Frio,Bresil,CABO_FRIO,-22.8869007,-42.0266493,"Harbor.create(name: ""Cabo Frio"", lat: -22.8869007, lng: -42.0266493, query: ""CABO_FRIO"")"
Cabo San Pablo,Argentine,CABO_SAN_PABLO,-53.80305809999999,-67.7604516,"Harbor.create(name: ""Cabo San Pablo"", lat: -53.80305809999999, lng: -67.7604516, query: ""CABO_SAN_PABLO"")"
Cacheu,Guinee-Bissau,CACHEU,12.2732631,-16.1669156,"Harbor.create(name: ""Cacheu"", lat: 12.2732631, lng: -16.1669156, query: ""CACHEU"")"
Cadiz (Cadix),Espagne,CADIZ,36.5270612,-6.2885962,"Harbor.create(name: ""Cadiz (Cadix)"", lat: 36.5270612, lng: -6.2885962, query: ""CADIZ"")"
Cagliari,Italie (Sardaigne),CAGLIARI,39.2238411,9.1216613,"Harbor.create(name: ""Cagliari"", lat: 39.2238411, lng: 9.1216613, query: ""CAGLIARI"")"
Caio,Guinee-Bissau,CAIO,11.9325807,-16.1977954,"Harbor.create(name: ""Caio"", lat: 11.9325807, lng: -16.1977954, query: ""CAIO"")"
Cairns Harbour,Australie,CAIRNS_HARBOUR,-16.8666667,145.7833333,"Harbor.create(name: ""Cairns Harbour"", lat: -16.8666667, lng: 145.7833333, query: ""CAIRNS_HARBOUR"")"
Calabar,Nigeria,CALABAR,4.9757165,8.3417006,"Harbor.create(name: ""Calabar"", lat: 4.9757165, lng: 8.3417006, query: ""CALABAR"")"
Calais,France,CALAIS,50.95129000000001,1.858686,"Harbor.create(name: ""Calais"", lat: 50.95129000000001, lng: 1.858686, query: ""CALAIS"")"
Calcutta,Inde,CALCUTTA-GARDEN_REACH,22.572646,88.36389500000001,"Harbor.create(name: ""Calcutta"", lat: 22.572646, lng: 88.36389500000001, query: ""CALCUTTA-GARDEN_REACH"")"
Caldera,Chili,CALDERA,-27.0667,-70.8178142,"Harbor.create(name: ""Caldera"", lat: -27.0667, lng: -70.8178142, query: ""CALDERA"")"
Caleta Brent,Argentine,CALETA_BRENT,,,
Caleta La Mision,Argentine,CALETA_LA_MISION,-53.80312379999999,-67.7551519,"Harbor.create(name: ""Caleta La Mision"", lat: -53.80312379999999, lng: -67.7551519, query: ""CALETA_LA_MISION"")"
Callao,Perou,CALLAO,-12.0508491,-77.1259843,"Harbor.create(name: ""Callao"", lat: -12.0508491, lng: -77.1259843, query: ""CALLAO"")"
Calvi,France,CALVI,42.567651,8.757221999999999,"Harbor.create(name: ""Calvi"", lat: 42.567651, lng: 8.757221999999999, query: ""CALVI"")"
Cam Pha,Viet Nam,CAM_PHA,21.015757,107.3316667,"Harbor.create(name: ""Cam Pha"", lat: 21.015757, lng: 107.3316667, query: ""CAM_PHA"")"
Cam Ranh,Viet Nam,CAM_RANH,11.9008657,109.140438,"Harbor.create(name: ""Cam Ranh"", lat: 11.9008657, lng: 109.140438, query: ""CAM_RANH"")"
Camaret-sur-Mer,France,CAMARET-SUR-MER,48.275836,-4.597113999999999,"Harbor.create(name: ""Camaret-sur-Mer"", lat: 48.275836, lng: -4.597113999999999, query: ""CAMARET-SUR-MER"")"
Cambridge Bay,Canada,CAMBRIDGE_BAY,69.1168641,-105.0596814,"Harbor.create(name: ""Cambridge Bay"", lat: 69.1168641, lng: -105.0596814, query: ""CAMBRIDGE_BAY"")"
Canal da Galheta,Bresil,CANAL_GALHETA,,,
Cancale,France,CANCALE,48.67707,-1.852279,"Harbor.create(name: ""Cancale"", lat: 48.67707, lng: -1.852279, query: ""CANCALE"")"
Cap Bojador (Cabo Bojador),Sahara Occidental,CAP_BOUJDOUR,,,
Cap Chikhacheva,Federation de Russie,ZALIV_CHIKHACHEVA,,,
Cap Ferret,France,CAP_FERRET,44.6548704,-1.2516627,"Harbor.create(name: ""Cap Ferret"", lat: 44.6548704, lng: -1.2516627, query: ""CAP_FERRET"")"
Cape Town,Afrique du Sud,CAPE_TOWN,-33.9248685,18.4240553,"Harbor.create(name: ""Cape Town"", lat: -33.9248685, lng: 18.4240553, query: ""CAPE_TOWN"")"
Cardiff,Royaume-Uni,CARDIFF,51.48158100000001,-3.17909,"Harbor.create(name: ""Cardiff"", lat: 51.48158100000001, lng: -3.17909, query: ""CARDIFF"")"
Carelmapu,Chili,CARELMAPU,-41.7416513,-73.69859439999999,"Harbor.create(name: ""Carelmapu"", lat: -41.7416513, lng: -73.69859439999999, query: ""CARELMAPU"")"
Carnarvon,Australie,CARNARVON,-24.884,113.661,"Harbor.create(name: ""Carnarvon"", lat: -24.884, lng: 113.661, query: ""CARNARVON"")"
Cartagena,Colombie,CARTAGENA,10.3910485,-75.4794257,"Harbor.create(name: ""Cartagena"", lat: 10.3910485, lng: -75.4794257, query: ""CARTAGENA"")"
Carteret,France,CARTERET,49.37865,-1.788731,"Harbor.create(name: ""Carteret"", lat: 49.37865, lng: -1.788731, query: ""CARTERET"")"
Casablanca,Maroc,CASABLANCA,33.5731104,-7.589843399999999,"Harbor.create(name: ""Casablanca"", lat: 33.5731104, lng: -7.589843399999999, query: ""CASABLANCA"")"
Cascais,Portugal,CASCAIS,38.6970565,-9.4222945,"Harbor.create(name: ""Cascais"", lat: 38.6970565, lng: -9.4222945, query: ""CASCAIS"")"
Cayeux-sur-Mer,France,CAYEUX-SUR-MER,50.1792299,1.493434,"Harbor.create(name: ""Cayeux-sur-Mer"", lat: 50.1792299, lng: 1.493434, query: ""CAYEUX-SUR-MER"")"
Cebu,Philippines,CEBU,10.3156992,123.8854366,"Harbor.create(name: ""Cebu"", lat: 10.3156992, lng: 123.8854366, query: ""CEBU"")"
Centuri,France,CENTURI,42.9597112,9.3728585,"Harbor.create(name: ""Centuri"", lat: 42.9597112, lng: 9.3728585, query: ""CENTURI"")"
Ceuta,Espagne,CEUTA,35.8893874,-5.3213455,"Harbor.create(name: ""Ceuta"", lat: 35.8893874, lng: -5.3213455, query: ""CEUTA"")"
Chandbali - Dhamra,Inde,CHANDBALI,20.7647377,86.7804872,"Harbor.create(name: ""Chandbali - Dhamra"", lat: 20.7647377, lng: 86.7804872, query: ""CHANDBALI"")"
Charcot,Antarctique,CHARCOT,-69.9532088,-75.1231308,"Harbor.create(name: ""Charcot"", lat: -69.9532088, lng: -75.1231308, query: ""CHARCOT"")"
Charleston,Etats-Unis,CHARLESTON,32.7764749,-79.93105120000001,"Harbor.create(name: ""Charleston"", lat: 32.7764749, lng: -79.93105120000001, query: ""CHARLESTON"")"
Charlottetown,Canada,CHARLOTTETOWN,46.23824,-63.13107040000001,"Harbor.create(name: ""Charlottetown"", lat: 46.23824, lng: -63.13107040000001, query: ""CHARLOTTETOWN"")"
Chatham Medway,Royaume-Uni,CHATHAM_MEDWAY,51.380952,0.52213,"Harbor.create(name: ""Chatham Medway"", lat: 51.380952, lng: 0.52213, query: ""CHATHAM_MEDWAY"")"
Cheju,Coree du Sud,CHEJU,33.4996213,126.5311884,"Harbor.create(name: ""Cheju"", lat: 33.4996213, lng: 126.5311884, query: ""CHEJU"")"
Chepenehe,France (Nouvelle-Caledonie),CHEPENEHE,,,
Cherbourg,France,CHERBOURG,49.6288218,-1.6188109,"Harbor.create(name: ""Cherbourg"", lat: 49.6288218, lng: -1.6188109, query: ""CHERBOURG"")"
Chi-Lung,Taiwan,CHI-LUNG,25.1276033,121.7391833,"Harbor.create(name: ""Chi-Lung"", lat: 25.1276033, lng: 121.7391833, query: ""CHI-LUNG"")"
Chicoutimi,Canada,CHICOUTIMI,48.3516735,-71.1385136,"Harbor.create(name: ""Chicoutimi"", lat: 48.3516735, lng: -71.1385136, query: ""CHICOUTIMI"")"
Chimbote,Perou,BAHIA_FERROL,-9.063336399999999,-78.589011,"Harbor.create(name: ""Chimbote"", lat: -9.063336399999999, lng: -78.589011, query: ""BAHIA_FERROL"")"
Chinhae,Coree du Sud,CHINHAE,35.101101,128.759003,"Harbor.create(name: ""Chinhae"", lat: 35.101101, lng: 128.759003, query: ""CHINHAE"")"
Chipiona,Espagne,CHIPIONA,36.7348614,-6.431699000000001,"Harbor.create(name: ""Chipiona"", lat: 36.7348614, lng: -6.431699000000001, query: ""CHIPIONA"")"
o,Coree du Sud,CHISE_P_O,35.907757,127.766922,"Harbor.create(name: ""o"", lat: 35.907757, lng: 127.766922, query: ""CHISE_P_O"")"
Chittagong,Bangladesh,CHITTAGONG,22.3475365,91.8123324,"Harbor.create(name: ""Chittagong"", lat: 22.3475365, lng: 91.8123324, query: ""CHITTAGONG"")"
Choiseul Bay,Iles Salomon,CHOISEUL_BAY,,,
Churchill,Canada,CHURCHILL,58.7684112,-94.16496400000001,"Harbor.create(name: ""Churchill"", lat: 58.7684112, lng: -94.16496400000001, query: ""CHURCHILL"")"
Chuuk Islands,Micronesie,DUBLON_ISLAND,7.4166667,151.7833333,"Harbor.create(name: ""Chuuk Islands"", lat: 7.4166667, lng: 151.7833333, query: ""DUBLON_ISLAND"")"
Civitavecchia,Italie,CIVITAVECCHIA,42.0924239,11.7954132,"Harbor.create(name: ""Civitavecchia"", lat: 42.0924239, lng: 11.7954132, query: ""CIVITAVECCHIA"")"
Clarks Point,Etats-Unis (Alaska),CLARKS_POINT,58.8369548,-158.5267194,"Harbor.create(name: ""Clarks Point"", lat: 58.8369548, lng: -158.5267194, query: ""CLARKS_POINT"")"
Clipperton,France,CLIPPERTON,43.2085563,6.562535,"Harbor.create(name: ""Clipperton"", lat: 43.2085563, lng: 6.562535, query: ""CLIPPERTON"")"
Coatzacoalcos,Mexique,COATZACOALCOS,18.1344779,-94.4589858,"Harbor.create(name: ""Coatzacoalcos"", lat: 18.1344779, lng: -94.4589858, query: ""COATZACOALCOS"")"
Cobh,Irlande,COBH,51.8503357,-8.294285799999999,"Harbor.create(name: ""Cobh"", lat: 51.8503357, lng: -8.294285799999999, query: ""COBH"")"
Cochin,Inde,COCHIN,9.9312328,76.26730409999999,"Harbor.create(name: ""Cochin"", lat: 9.9312328, lng: 76.26730409999999, query: ""COCHIN"")"
Coffs Harbour,Australie,COFFS_HARBOUR,-30.298612,153.1093922,"Harbor.create(name: ""Coffs Harbour"", lat: -30.298612, lng: 153.1093922, query: ""COFFS_HARBOUR"")"
Colombo,Sri Lanka,COLOMBO,6.9270786,79.861243,"Harbor.create(name: ""Colombo"", lat: 6.9270786, lng: 79.861243, query: ""COLOMBO"")"
Colon,Panama,COLON,9.3352868,-79.9416549,"Harbor.create(name: ""Colon"", lat: 9.3352868, lng: -79.9416549, query: ""COLON"")"
Colonia del Sacramento,Uruguay,COLONIA_DEL_SACRAMENTO,-34.4607189,-57.83390989999999,"Harbor.create(name: ""Colonia del Sacramento"", lat: -34.4607189, lng: -57.83390989999999, query: ""COLONIA_DEL_SACRAMENTO"")"
Comodoro Rivadavia,Argentine,COMODORO_RIVADAVIA,-45.8656149,-67.4822429,"Harbor.create(name: ""Comodoro Rivadavia"", lat: -45.8656149, lng: -67.4822429, query: ""COMODORO_RIVADAVIA"")"
Comox,Canada,COMOX,49.6735133,-124.9282659,"Harbor.create(name: ""Comox"", lat: 49.6735133, lng: -124.9282659, query: ""COMOX"")"
Conakry,Guinee,CONAKRY,9.641185499999999,-13.5784012,"Harbor.create(name: ""Conakry"", lat: 9.641185499999999, lng: -13.5784012, query: ""CONAKRY"")"
Concarneau,France,CONCARNEAU,47.872834,-3.920734,"Harbor.create(name: ""Concarneau"", lat: 47.872834, lng: -3.920734, query: ""CONCARNEAU"")"
Coos Bay,Etats-Unis,EMPIRE,43.3665007,-124.2178903,"Harbor.create(name: ""Coos Bay"", lat: 43.3665007, lng: -124.2178903, query: ""EMPIRE"")"
Coquimbo,Chili,COQUIMBO,-29.9590009,-71.3389183,"Harbor.create(name: ""Coquimbo"", lat: -29.9590009, lng: -71.3389183, query: ""COQUIMBO"")"
Cordouan,France,CORDOUAN,48.395838,-0.603474,"Harbor.create(name: ""Cordouan"", lat: 48.395838, lng: -0.603474, query: ""CORDOUAN"")"
Cordova,Etats-Unis (Alaska),CORDOVA,60.5424087,-145.7525414,"Harbor.create(name: ""Cordova"", lat: 60.5424087, lng: -145.7525414, query: ""CORDOVA"")"
Corpus Christi,Etats-Unis,CORPUS,27.8005828,-97.39638099999999,"Harbor.create(name: ""Corpus Christi"", lat: 27.8005828, lng: -97.39638099999999, query: ""CORPUS"")"
Corta de Los Jeronimos,Espagne,CORTA_DE_LOS_JERONIMOS,37.9177135,-6.544623,"Harbor.create(name: ""Corta de Los Jeronimos"", lat: 37.9177135, lng: -6.544623, query: ""CORTA_DE_LOS_JERONIMOS"")"
Cotonou,Benin,COTONOU,6.3702928,2.3912362,"Harbor.create(name: ""Cotonou"", lat: 6.3702928, lng: 2.3912362, query: ""COTONOU"")"
Courseulles-sur-Mer,France,COURSEULLES-SUR-MER_LARGE,49.3334059,-0.457365,"Harbor.create(name: ""Courseulles-sur-Mer"", lat: 49.3334059, lng: -0.457365, query: ""COURSEULLES-SUR-MER_LARGE"")"
Crescent City,Etats-Unis,CRESCENT_CITY,41.7557501,-124.2025913,"Harbor.create(name: ""Crescent City"", lat: 41.7557501, lng: -124.2025913, query: ""CRESCENT_CITY"")"
Cuxhaven,Allemagne,CUXHAVEN,53.859336,8.6879057,"Harbor.create(name: ""Cuxhaven"", lat: 53.859336, lng: 8.6879057, query: ""CUXHAVEN"")"
Da Nang (Tourane),Viet Nam,DA_NANG,16.0544068,108.2021667,"Harbor.create(name: ""Da Nang (Tourane)"", lat: 16.0544068, lng: 108.2021667, query: ""DA_NANG"")"
Dahouet,France,DAHOUET,48.578277,-2.566239,"Harbor.create(name: ""Dahouet"", lat: 48.578277, lng: -2.566239, query: ""DAHOUET"")"
Dakar,Senegal,DAKAR,14.7645042,-17.3660286,"Harbor.create(name: ""Dakar"", lat: 14.7645042, lng: -17.3660286, query: ""DAKAR"")"
Dakhla,Sahara Occidental,DAKHLA,23.7221111,-15.9347384,"Harbor.create(name: ""Dakhla"", lat: 23.7221111, lng: -15.9347384, query: ""DAKHLA"")"
Dalian,Chine,DALIANG,38.91400300000001,121.614682,"Harbor.create(name: ""Dalian"", lat: 38.91400300000001, lng: 121.614682, query: ""DALIANG"")"
Dampier,Australie,DAMPIER,-20.6582351,116.7150763,"Harbor.create(name: ""Dampier"", lat: -20.6582351, lng: 116.7150763, query: ""DAMPIER"")"
Danmarks Havn,Danemark (Groenland),DANMARKS_HAVN,,,
Dar-Es-Salaam,Tanzanie,DAR_ES_SALAAM,-6.792354,39.2083284,"Harbor.create(name: ""Dar-Es-Salaam"", lat: -6.792354, lng: 39.2083284, query: ""DAR_ES_SALAAM"")"
Daru I.,Papouasie-Nouvelle-Guinee,DARU,-9.078195899999999,143.2099707,"Harbor.create(name: ""Daru I."", lat: -9.078195899999999, lng: 143.2099707, query: ""DARU"")"
Darwin,Australie,DARWIN,-12.4634403,130.8456418,"Harbor.create(name: ""Darwin"", lat: -12.4634403, lng: 130.8456418, query: ""DARWIN"")"
Davao,Philippines,DAVAO,7.190708,125.455341,"Harbor.create(name: ""Davao"", lat: 7.190708, lng: 125.455341, query: ""DAVAO"")"
Deauville,France,DEAUVILLE,49.353976,0.075122,"Harbor.create(name: ""Deauville"", lat: 49.353976, lng: 0.075122, query: ""DEAUVILLE"")"
Deception,Antarctique,FOSTER,-62.9409297,-60.55537510000001,"Harbor.create(name: ""Deception"", lat: -62.9409297, lng: -60.55537510000001, query: ""FOSTER"")"
Degrad Des Cannes,France (Guyane),DEGRAD_DES_CANNES,,,
Den Helder,Pays-Bas,DEN_HELDER,52.95628079999999,4.7607972,"Harbor.create(name: ""Den Helder"", lat: 52.95628079999999, lng: 4.7607972, query: ""DEN_HELDER"")"
Devonport,Australie,DEVONPORT,-41.1770585,146.3451775,"Harbor.create(name: ""Devonport"", lat: -41.1770585, lng: 146.3451775, query: ""DEVONPORT"")"
Diamond Harbour,Inde,DIAMOND_HARBOUR,22.1987268,88.20228759999999,"Harbor.create(name: ""Diamond Harbour"", lat: 22.1987268, lng: 88.20228759999999, query: ""DIAMOND_HARBOUR"")"
Diana Bay,Canada,DIANA_BAY,60.783052,-69.832368,"Harbor.create(name: ""Diana Bay"", lat: 60.783052, lng: -69.832368, query: ""DIANA_BAY"")"
Dieppe,France,DIEPPE,49.922992,1.077483,"Harbor.create(name: ""Dieppe"", lat: 49.922992, lng: 1.077483, query: ""DIEPPE"")"
Diogue,Senegal,DJOGUE,12.57488,-16.7506689,"Harbor.create(name: ""Diogue"", lat: 12.57488, lng: -16.7506689, query: ""DJOGUE"")"
Dives-sur-Mer,France,DIVES-SUR-MER,49.28656,-0.100024,"Harbor.create(name: ""Dives-sur-Mer"", lat: 49.28656, lng: -0.100024, query: ""DIVES-SUR-MER"")"
lette,France,DIELETTE,43.982981,6.829312,"Harbor.create(name: ""lette"", lat: 43.982981, lng: 6.829312, query: ""DIELETTE"")"
Djakarta (Tanjung Priok),Indonesie,TANJUNG_PRIOK,-6.1320555,106.8714848,"Harbor.create(name: ""Djakarta (Tanjung Priok)"", lat: -6.1320555, lng: 106.8714848, query: ""TANJUNG_PRIOK"")"
Djibouti,Djibouti,DJIBOUTI,11.5720765,43.1456475,"Harbor.create(name: ""Djibouti"", lat: 11.5720765, lng: 43.1456475, query: ""DJIBOUTI"")"
Do Son,Viet Nam,DO_SON,21.3780955,105.1916922,"Harbor.create(name: ""Do Son"", lat: 21.3780955, lng: 105.1916922, query: ""DO_SON"")"
Doha (Ad Dawhah),Qatar,DOHA,25.2854473,51.53103979999999,"Harbor.create(name: ""Doha (Ad Dawhah)"", lat: 25.2854473, lng: 51.53103979999999, query: ""DOHA"")"
Douala,Cameroun,DOUALA,4.0510564,9.7678687,"Harbor.create(name: ""Douala"", lat: 4.0510564, lng: 9.7678687, query: ""DOUALA"")"
Douarnenez,France,DOUARNENEZ,48.093228,-4.328619,"Harbor.create(name: ""Douarnenez"", lat: 48.093228, lng: -4.328619, query: ""DOUARNENEZ"")"
Douvres (Dover),Royaume-Uni,DOVER,51.1278758,1.3134027,"Harbor.create(name: ""Douvres (Dover)"", lat: 51.1278758, lng: 1.3134027, query: ""DOVER"")"
Dreger Harbour,Papouasie-Nouvelle-Guinee,PORT_DREGER,,,
Dubai (Port Rashid),Emirats Arabes Unis,MINA_RASHID_DUBAI,25.284755,55.2756505,"Harbor.create(name: ""Dubai (Port Rashid)"", lat: 25.284755, lng: 55.2756505, query: ""MINA_RASHID_DUBAI"")"
Dublin,Irlande,DUBLIN,53.3498053,-6.2603097,"Harbor.create(name: ""Dublin"", lat: 53.3498053, lng: -6.2603097, query: ""DUBLIN"")"
Dubrovnik,Croatie,DUBROVNIK,42.65066059999999,18.0944238,"Harbor.create(name: ""Dubrovnik"", lat: 42.65066059999999, lng: 18.0944238, query: ""DUBROVNIK"")"
Dundee,Royaume-Uni,DUNDEE,56.462018,-2.970721,"Harbor.create(name: ""Dundee"", lat: 56.462018, lng: -2.970721, query: ""DUNDEE"")"
Dunkerque,France,DUNKERQUE,51.0343684,2.3767763,"Harbor.create(name: ""Dunkerque"", lat: 51.0343684, lng: 2.3767763, query: ""DUNKERQUE"")"
Dunkerque Ouest,France,DUNKERQUE_OUEST,51.041719,2.329525,"Harbor.create(name: ""Dunkerque Ouest"", lat: 51.041719, lng: 2.329525, query: ""DUNKERQUE_OUEST"")"
Durban,Afrique du Sud,DURBAN,-29.85868039999999,31.0218404,"Harbor.create(name: ""Durban"", lat: -29.85868039999999, lng: 31.0218404, query: ""DURBAN"")"
Durres,Albanie,DURRES,41.3245904,19.4564686,"Harbor.create(name: ""Durres"", lat: 41.3245904, lng: 19.4564686, query: ""DURRES"")"
Dzaoudzi (Mayotte),France (Ocean Indien),DZAOUDZI,-12.7809488,45.227872,"Harbor.create(name: ""Dzaoudzi (Mayotte)"", lat: -12.7809488, lng: 45.227872, query: ""DZAOUDZI"")"
East London,Afrique du Sud,EAST_LONDON,-33.0291582,27.8545867,"Harbor.create(name: ""East London"", lat: -33.0291582, lng: 27.8545867, query: ""EAST_LONDON"")"
Eastport,Etats-Unis,EASTPORT_ME,40.8259321,-72.73176579999999,"Harbor.create(name: ""Eastport"", lat: 40.8259321, lng: -72.73176579999999, query: ""EASTPORT_ME"")"
Eden,Australie,EDEN,-37.066667,149.9,"Harbor.create(name: ""Eden"", lat: -37.066667, lng: 149.9, query: ""EDEN"")"
Egedesminde,Danemark (Groenland),EGEDESMINDE,68.70697659999999,-52.85912219999999,"Harbor.create(name: ""Egedesminde"", lat: 68.70697659999999, lng: -52.85912219999999, query: ""EGEDESMINDE"")"
El Jadida (Mazagan),Maroc,MAZAGAN,33.2316326,-8.500711599999999,"Harbor.create(name: ""El Jadida (Mazagan)"", lat: 33.2316326, lng: -8.500711599999999, query: ""MAZAGAN"")"
El Mhirez,Maroc,EL_MHIREZ,,,
Ensenada,Mexique,ENSENADA,31.8667427,-116.5963713,"Harbor.create(name: ""Ensenada"", lat: 31.8667427, lng: -116.5963713, query: ""ENSENADA"")"
Entree Baie de Somme,France,BOUEE_AT_SO,49.914518,2.2707095,"Harbor.create(name: ""Entree Baie de Somme"", lat: 49.914518, lng: 2.2707095, query: ""BOUEE_AT_SO"")"
Erquy,France,ERQUY,48.6290369,-2.465645,"Harbor.create(name: ""Erquy"", lat: 48.6290369, lng: -2.465645, query: ""ERQUY"")"
Esbjerg,Danemark,ESBJERG,55.476466,8.459405,"Harbor.create(name: ""Esbjerg"", lat: 55.476466, lng: 8.459405, query: ""ESBJERG"")"
Esmeraldas,Equateur,PTO_DE_ESMERALDA,0.9681789,-79.6517202,"Harbor.create(name: ""Esmeraldas"", lat: 0.9681789, lng: -79.6517202, query: ""PTO_DE_ESMERALDA"")"
Esperanza (Hope),Antarctique,ESPERANZA,,,
Essaouira,Maroc,ESSAOUIRA,31.5084926,-9.7595041,"Harbor.create(name: ""Essaouira"", lat: 31.5084926, lng: -9.7595041, query: ""ESSAOUIRA"")"
Etel,France,ETEL,47.65707,-3.201531,"Harbor.create(name: ""Etel"", lat: 47.65707, lng: -3.201531, query: ""ETEL"")"
Etretat,France,ETRETAT,49.7070069,0.2055978,"Harbor.create(name: ""Etretat"", lat: 49.7070069, lng: 0.2055978, query: ""ETRETAT"")"
Everett,Etats-Unis,EVERETT,47.9789848,-122.2020794,"Harbor.create(name: ""Everett"", lat: 47.9789848, lng: -122.2020794, query: ""EVERETT"")"
Fair Isle,Royaume-Uni (Iles Shetland),FAIR_ISLE,59.53214199999999,-1.630351,"Harbor.create(name: ""Fair Isle"", lat: 59.53214199999999, lng: -1.630351, query: ""FAIR_ISLE"")"
Fakarava,France (Polynesie),FAKARAVA_ROTOAVA,-16.162218,-145.5732429,"Harbor.create(name: ""Fakarava"", lat: -16.162218, lng: -145.5732429, query: ""FAKARAVA_ROTOAVA"")"
Falmouth,Royaume-Uni,FALMOUTH,50.15257099999999,-5.066269999999999,"Harbor.create(name: ""Falmouth"", lat: 50.15257099999999, lng: -5.066269999999999, query: ""FALMOUTH"")"
False Strait,Canada,FALSE_STRAIT,71.99275480000001,-95.1455629,"Harbor.create(name: ""False Strait"", lat: 71.99275480000001, lng: -95.1455629, query: ""FALSE_STRAIT"")"
Faro Olhao,Portugal,FARO-OLHAO,37.0260416,-7.8423509,"Harbor.create(name: ""Faro Olhao"", lat: 37.0260416, lng: -7.8423509, query: ""FARO-OLHAO"")"
Figueira da Foz,Portugal,FIGUEIRA_DA_FOZ,40.1521398,-8.857583,"Harbor.create(name: ""Figueira da Foz"", lat: 40.1521398, lng: -8.857583, query: ""FIGUEIRA_DA_FOZ"")"
Flamanville,France,FLAMANVILLE,49.53207,-1.865804,"Harbor.create(name: ""Flamanville"", lat: 49.53207, lng: -1.865804, query: ""FLAMANVILLE"")"
Florianapolis,Bresil,FLORIANOPOLIS,-27.5953778,-48.5480499,"Harbor.create(name: ""Florianapolis"", lat: -27.5953778, lng: -48.5480499, query: ""FLORIANOPOLIS"")"
Forari Bay,Vanuatu,FORARI_BAY,,,
Fort Ross,Canada,FORT_ROSS,72.01130119999999,-94.2485408,"Harbor.create(name: ""Fort Ross"", lat: 72.01130119999999, lng: -94.2485408, query: ""FORT_ROSS"")"
Fort-de-France,France (Antilles),FORT-DE-FRANCE,14.6037243,-61.06276089999999,"Harbor.create(name: ""Fort-de-France"", lat: 14.6037243, lng: -61.06276089999999, query: ""FORT-DE-FRANCE"")"
Fos sur Mer,France,FOS_SUR_MER,43.43788199999999,4.945711,"Harbor.create(name: ""Fos sur Mer"", lat: 43.43788199999999, lng: 4.945711, query: ""FOS_SUR_MER"")"
Foue,France (Nouvelle-Caledonie),FOUE,48.8380406,2.4094738,"Harbor.create(name: ""Foue"", lat: 48.8380406, lng: 2.4094738, query: ""FOUE"")"
Freetown,Sierra Leone,FREETOWN,8.4656765,-13.2317225,"Harbor.create(name: ""Freetown"", lat: 8.4656765, lng: -13.2317225, query: ""FREETOWN"")"
Fremantle,Australie,FREMANTLE,-32.0569,115.7439,"Harbor.create(name: ""Fremantle"", lat: -32.0569, lng: 115.7439, query: ""FREMANTLE"")"
Frobisher Bay,Canada,FROBISHER,63.74669300000001,-68.5169669,"Harbor.create(name: ""Frobisher Bay"", lat: 63.74669300000001, lng: -68.5169669, query: ""FROBISHER"")"
Fromentine Embarcadere,France,FROMENTINE_EMBARCADERE,,,
Fulford Harbour,Canada,FULFORD_HARBOUR,48.771358,-123.449449,"Harbor.create(name: ""Fulford Harbour"", lat: 48.771358, lng: -123.449449, query: ""FULFORD_HARBOUR"")"
Funafuti,Tuvalu,FUNAFUTI,-8.5200657,179.198128,"Harbor.create(name: ""Funafuti"", lat: -8.5200657, lng: 179.198128, query: ""FUNAFUTI"")"
Funchal,Portugal,FUNCHAL,32.6669328,-16.9240554,"Harbor.create(name: ""Funchal"", lat: 32.6669328, lng: -16.9240554, query: ""FUNCHAL"")"
Futuna,France (Wallis et Futuna),LEAVA_FUTUNA,,,
camp,France,FECAMP,37.8840922,-121.2710555,"Harbor.create(name: ""camp"", lat: 37.8840922, lng: -121.2710555, query: ""FECAMP"")"
Galle,Sri Lanka,GALLE,6.0535185,80.2209773,"Harbor.create(name: ""Galle"", lat: 6.0535185, lng: 80.2209773, query: ""GALLE"")"
Galveston,Etats-Unis,GALVESTON,29.3013479,-94.7976958,"Harbor.create(name: ""Galveston"", lat: 29.3013479, lng: -94.7976958, query: ""GALVESTON"")"
Galway,Irlande,GALWAY,53.270668,-9.0567905,"Harbor.create(name: ""Galway"", lat: 53.270668, lng: -9.0567905, query: ""GALWAY"")"
Gene (Genova),Italie,GENOVA,44.4056499,8.946256,"Harbor.create(name: ""Gene (Genova)"", lat: 44.4056499, lng: 8.946256, query: ""GENOVA"")"
Georgetown,Guyana,GEORGETOWN_GUYANA,6.8012793,-58.1551255,"Harbor.create(name: ""Georgetown"", lat: 6.8012793, lng: -58.1551255, query: ""GEORGETOWN_GUYANA"")"
Geraldton,Australie,GERALDTON,-28.7773715,114.6149715,"Harbor.create(name: ""Geraldton"", lat: -28.7773715, lng: 114.6149715, query: ""GERALDTON"")"
Ghizlan - Ju Aymah,Arabie Saoudite,JU_AYMAH,,,
Gibraltar,Royaume-Uni (Gibraltar),GIBRALTAR,53.3864739,-1.4715647,"Harbor.create(name: ""Gibraltar"", lat: 53.3864739, lng: -1.4715647, query: ""GIBRALTAR"")"
Gijon,Espagne,GIJON,43.5322015,-5.6611195,"Harbor.create(name: ""Gijon"", lat: 43.5322015, lng: -5.6611195, query: ""GIJON"")"
